prix de la crypto : 31750.32, prix de la prédiction : 31711.125
prix de la crypto : 29846.39, prix de la prédiction : 29755.388411458334
prix crypto up : 15.598, prix de la prédiction : 15.61492722829183
prix crypto down : 0.021667, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 23:08:28
prix de la crypto : 29895.04, prix de la prédiction : 29781.888020833332
prix crypto up : 15.642, prix de la prédiction : 15.58643716176351
prix crypto down : 0.0216, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 22:53:28
prix de la crypto : 29967.53, prix de la prédiction : 29867.196223958334
prix crypto up : 15.734, prix de la prédiction : 15.630763943990072
prix crypto down : 0.021499, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 22:38:29
prix de la crypto : 30049.99, prix de la prédiction : 29944.882161458332
prix crypto up : 15.855, prix de la prédiction : 15.738073285420736
prix crypto down : 0.02136, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 22:23:30
prix de la crypto : 30078.76, prix de la prédiction : 30011.769270833334
prix crypto up : 15.902, prix de la prédiction : 15.864664967854818
prix crypto down : 0.021318, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 22:08:30
prix de la crypto : 30109.09, prix de la prédiction : 30049.977864583332
prix crypto up : 15.991, prix de la prédiction : 16.016389846801758
prix crypto down : 0.021224, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 21:53:31
prix de la crypto : 30068.61, prix de la prédiction : 29990.847265625
prix crypto up : 15.914, prix de la prédiction : 15.872473653157552
prix crypto down : 0.02128, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 21:38:32
prix de la crypto : 29978.98, prix de la prédiction : 29879.846614583334
prix crypto up : 15.768, prix de la prédiction : 15.760065015157064
prix crypto down : 0.021476, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 21:23:33
prix de la crypto : 29969.01, prix de la prédiction : 29881.667578125
prix crypto up : 15.786, prix de la prédiction : 15.778456624348959
prix crypto down : 0.021473, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 21:08:34
prix de la crypto : 29989.24, prix de la prédiction : 29939.6734375
prix crypto up : 15.798, prix de la prédiction : 15.925991948445638
prix crypto down : 0.021458, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 20:53:35
prix de la crypto : 30007.22, prix de la prédiction : 29967.009114583332
prix crypto up : 15.832, prix de la prédiction : 15.795377731323242
prix crypto down : 0.021386, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 20:38:35
prix de la crypto : 29995.17, prix de la prédiction : 29924.790364583332
prix crypto up : 15.8, prix de la prédiction : 15.78954594930013
prix crypto down : 0.021449, prix de la prédiction : 0.026255036393801372programme toujours en cour d'exécution le : dimanche 05 juin 2022 20:23:36
prix de la crypto : 30049.62, prix de la prédiction : 29994.721484375
prix crypto up : 15.903, prix de la prédiction : 15.93847459157308
prix crypto down : 0.021322, prix de la prédiction : 0.028062897796432177programme toujours en cour d'exécution le : dimanche 05 juin 2022 20:08:36
prix de la crypto : 30044.98, prix de la prédiction : 30018.322916666668
prix crypto up : 15.911, prix de la prédiction : 15.980912208557129
prix crypto down : 0.021312, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 19:53:37
prix de la crypto : 30028.82, prix de la prédiction : 30002.391536458334
prix crypto up : 15.887, prix de la prédiction : 15.969636090596516
prix crypto down : 0.021382, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 19:38:37
prix de la crypto : 30082.61, prix de la prédiction : 30070.232291666667
prix crypto up : 15.94, prix de la prédiction : 16.01041603088379
prix crypto down : 0.0213, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 19:23:38
prix de la crypto : 30047.61, prix de la prédiction : 30015.54453125
prix crypto up : 15.884, prix de la prédiction : 15.976888656616211
prix crypto down : 0.021318, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 19:08:39
prix de la crypto : 29921.06, prix de la prédiction : 29878.376302083332
prix crypto up : 15.682, prix de la prédiction : 15.800576146443685
prix crypto down : 0.021616, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 18:53:40
prix de la crypto : 29849.82, prix de la prédiction : 29794.140625
prix crypto up : 15.594, prix de la prédiction : 15.681969579060873
prix crypto down : 0.02167, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 18:38:41
prix de la crypto : 29817.3, prix de la prédiction : 29763.26640625
prix crypto up : 15.566, prix de la prédiction : 15.639222081502279
prix crypto down : 0.021722, prix de la prédiction : 0.02678278796374798programme toujours en cour d'exécution le : dimanche 05 juin 2022 18:23:42
prix de la crypto : 29905.01, prix de la prédiction : 29850.175390625
prix crypto up : 15.669, prix de la prédiction : 15.767886288960774
prix crypto down : 0.021605, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 18:08:43
prix de la crypto : 30127.28, prix de la prédiction : 30053.954947916667
prix crypto up : 15.98, prix de la prédiction : 16.04510498046875
prix crypto down : 0.021223, prix de la prédiction : 0.030763145287831625programme toujours en cour d'exécution le : dimanche 05 juin 2022 17:53:44
prix de la crypto : 29892.03, prix de la prédiction : 29837.934895833332
prix crypto up : 15.651, prix de la prédiction : 15.68913745880127
prix crypto down : 0.021635, prix de la prédiction : 0.03485266913970311programme toujours en cour d'exécution le : dimanche 05 juin 2022 17:38:44
prix de la crypto : 29860.71, prix de la prédiction : 29825.908463541666
prix crypto up : 15.588, prix de la prédiction : 15.638272221883138
prix crypto down : 0.021694, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 17:23:45
prix de la crypto : 29878.99, prix de la prédiction : 29814.704036458334
prix crypto up : 15.619, prix de la prédiction : 15.637724812825521
prix crypto down : 0.021654, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 17:08:46
prix de la crypto : 29809.42, prix de la prédiction : 29746.128255208332
prix crypto up : 15.512, prix de la prédiction : 15.52250207265218
prix crypto down : 0.021771, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 16:53:46
prix de la crypto : 29790.02, prix de la prédiction : 29744.035416666666
prix crypto up : 15.472, prix de la prédiction : 15.46758836110433
prix crypto down : 0.021795, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 16:38:47
prix de la crypto : 29779.99, prix de la prédiction : 29729.047395833335
prix crypto up : 15.455, prix de la prédiction : 15.484035428365072
prix crypto down : 0.02182, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 16:23:48
prix de la crypto : 29787.99, prix de la prédiction : 29740.775130208334
prix crypto up : 15.462, prix de la prédiction : 15.524016507466634
prix crypto down : 0.021801, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 16:08:49
prix de la crypto : 29663.81, prix de la prédiction : 29604.179427083334
prix crypto up : 15.293, prix de la prédiction : 15.358815129597982
prix crypto down : 0.022002, prix de la prédiction : 0.05894085615873337programme toujours en cour d'exécution le : dimanche 05 juin 2022 15:53:50
prix de la crypto : 29682.2, prix de la prédiction : 29588.41875
prix crypto up : 15.308, prix de la prédiction : 15.407014020284016
prix crypto down : 0.02198, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 15:38:51
prix de la crypto : 29706.6, prix de la prédiction : 29628.629427083335
prix crypto up : 15.35, prix de la prédiction : 15.410979398091634
prix crypto down : 0.021932, prix de la prédiction : 0.03427224283417066programme toujours en cour d'exécution le : dimanche 05 juin 2022 15:23:52
prix de la crypto : 29720.02, prix de la prédiction : 29644.589583333334
prix crypto up : 15.395, prix de la prédiction : 15.388514645894368
prix crypto down : 0.0219, prix de la prédiction : 0.02589745695392291programme toujours en cour d'exécution le : dimanche 05 juin 2022 15:08:53
prix de la crypto : 29745.17, prix de la prédiction : 29681.798958333333
prix crypto up : 15.44, prix de la prédiction : 15.43275826772054
prix crypto down : 0.021865, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 14:53:53
prix de la crypto : 29719.1, prix de la prédiction : 29680.868489583332
prix crypto up : 15.382, prix de la prédiction : 15.456624921162923
prix crypto down : 0.021901, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 14:38:54
prix de la crypto : 29705.79, prix de la prédiction : 29638.983203125
prix crypto up : 15.36, prix de la prédiction : 15.396844800313314
prix crypto down : 0.021932, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 14:23:55
prix de la crypto : 29706.56, prix de la prédiction : 29622.388671875
prix crypto up : 15.35, prix de la prédiction : 15.410040791829427
prix crypto down : 0.021933, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 14:08:56
prix de la crypto : 29715.97, prix de la prédiction : 29644.8015625
prix crypto up : 15.378, prix de la prédiction : 15.489955838521322
prix crypto down : 0.02189, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 13:53:57
prix de la crypto : 29692.9, prix de la prédiction : 29646.233203125
prix crypto up : 15.339, prix de la prédiction : 15.439559110005696
prix crypto down : 0.021945, prix de la prédiction : 0.04294698933760325programme toujours en cour d'exécution le : dimanche 05 juin 2022 13:38:58
prix de la crypto : 29690.99, prix de la prédiction : 29630.005208333332
prix crypto up : 15.346, prix de la prédiction : 15.37807362874349
prix crypto down : 0.021952, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 13:23:58
prix de la crypto : 29604.99, prix de la prédiction : 29537.481770833332
prix crypto up : 15.202, prix de la prédiction : 15.303708012898763
prix crypto down : 0.02211, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 13:08:59
prix de la crypto : 29632.98, prix de la prédiction : 29562.848307291668
prix crypto up : 15.262, prix de la prédiction : 15.286483891805013
